,Team Name,Player Name,Goals Scored,Unnamed: 0,Year,Team Initials,Home Team Goals,Away Team Goals,Total_goals
113,Denmark,Thomas HELVEG,4,275,1998.0,DNK,0.0,9.0,9.0
114,Denmark,Thomas HELVEG,4,305,2002.0,DNK,3.0,2.0,5.0
115,Denmark,Thomas HELVEG,4,370,2010.0,DNK,1.0,2.0,3.0
116,Ecuador,MENDEZ,3,306,2002.0,ECU,1.0,1.0,2.0
117,Ecuador,MENDEZ,3,338,2006.0,ECU,3.0,2.0,5.0
118,Ecuador,MENDEZ,3,407,2014.0,ECU,0.0,3.0,3.0
119,Egypt,Abdel Rahman FAWZI,2,17,1934.0,EGY,0.0,2.0,2.0
120,Egypt,Abdel Rahman FAWZI,2,225,1990.0,EGY,0.0,1.0,1.0
121,France,Zinedine ZIDANE,13,5,1930.0,FRA,4.0,0.0,4.0
122,France,Zinedine ZIDANE,13,19,1934.0,FRA,0.0,2.0,2.0
123,France,Zinedine ZIDANE,13,32,1938.0,FRA,3.0,1.0,4.0
124,France,Zinedine ZIDANE,13,61,1954.0,FRA,3.0,0.0,3.0
125,France,Zinedine ZIDANE,13,77,1958.0,FRA,19.0,4.0,23.0
126,France,Zinedine ZIDANE,13,111,1966.0,FRA,1.0,1.0,2.0
127,France,Zinedine ZIDANE,13,157,1978.0,FRA,3.0,2.0,5.0
128,France,Zinedine ZIDANE,13,179,1982.0,FRA,9.0,7.0,16.0
129,France,Zinedine ZIDANE,13,203,1986.0,FRA,5.0,7.0,12.0
130,France,Zinedine ZIDANE,13,278,1998.0,FRA,12.0,3.0,15.0
131,France,Zinedine ZIDANE,13,309,2002.0,FRA,0.0,0.0,0.0
132,France,Zinedine ZIDANE,13,341,2006.0,FRA,1.0,8.0,9.0
133,France,Zinedine ZIDANE,13,373,2010.0,FRA,1.0,0.0,1.0
134,France,Zinedine ZIDANE,13,410,2014.0,FRA,7.0,5.0,12.0
135,German DR,Martin HOFFMANN,2,143,1974.0,DEU,3.0,2.0,5.0
136,Germany,�ZIL,16,20,1934.0,DEU,10.0,1.0,11.0
137,Germany,�ZIL,16,33,1938.0,DEU,0.0,3.0,3.0
138,Germany,�ZIL,16,250,1994.0,DEU,8.0,1.0,9.0
139,Germany,�ZIL,16,279,1998.0,DEU,8.0,0.0,8.0
140,Germany,�ZIL,16,310,2002.0,DEU,12.0,2.0,14.0
141,Germany,�ZIL,16,342,2006.0,DEU,11.0,3.0,14.0
142,Germany,�ZIL,16,374,2010.0,DEU,8.0,8.0,16.0
143,Germany,�ZIL,16,411,2014.0,DEU,12.0,17.0,29.0
144,Germany FR,Wolfgang WEBER,10,62,1954.0,DEU,22.0,3.0,25.0
145,Germany FR,Wolfgang WEBER,10,78,1958.0,DEU,5.0,7.0,12.0
146,Germany FR,Wolfgang WEBER,10,96,1962.0,DEU,4.0,0.0,4.0
147,Germany FR,Wolfgang WEBER,10,112,1966.0,DEU,13.0,2.0,15.0
148,Germany FR,Wolfgang WEBER,10,125,1970.0,DEU,14.0,3.0,17.0
149,Germany FR,Wolfgang WEBER,10,142,1974.0,DEU,5.0,8.0,13.0
150,Germany FR,Wolfgang WEBER,10,158,1978.0,DEU,8.0,2.0,10.0
151,Germany FR,Wolfgang WEBER,10,180,1982.0,DEU,11.0,1.0,12.0
152,Germany FR,Wolfgang WEBER,10,204,1986.0,DEU,2.0,6.0,8.0
153,Germany FR,Wolfgang WEBER,10,228,1990.0,DEU,15.0,0.0,15.0
154,Ghana,PRINCE,3,343,2006.0,GHA,2.0,2.0,4.0
155,Ghana,PRINCE,3,375,2010.0,GHA,1.0,4.0,5.0
156,Ghana,PRINCE,3,412,2014.0,GHA,1.0,3.0,4.0
157,Greece,TOROSIDIS,2,251,1994.0,GRC,0.0,0.0,0.0
158,Greece,TOROSIDIS,2,376,2010.0,GRC,2.0,0.0,2.0
159,Greece,TOROSIDIS,2,413,2014.0,GRC,2.0,2.0,4.0
160,Haiti,Emmanuel SANON,2,144,1974.0,HTI,0.0,2.0,2.0
161,Honduras,Hector ZELAYA,1,181,1982.0,HND,1.0,1.0,2.0
162,Honduras,Hector ZELAYA,1,377,2010.0,HND,0.0,0.0,0.0
163,Honduras,Hector ZELAYA,1,414,2014.0,HND,1.0,0.0,1.0
164,Hungary,Zoltan CZIBOR,11,21,1934.0,HUN,4.0,1.0,5.0
165,Hungary,Zoltan CZIBOR,11,34,1938.0,HUN,13.0,2.0,15.0
166,Hungary,Zoltan CZIBOR,11,63,1954.0,HUN,25.0,2.0,27.0
167,Hungary,Zoltan CZIBOR,11,79,1958.0,HUN,5.0,2.0,7.0
168,Hungary,Zoltan CZIBOR,11,97,1962.0,HUN,8.0,0.0,8.0
169,Hungary,Zoltan CZIBOR,11,113,1966.0,HUN,6.0,2.0,8.0
170,Hungary,Zoltan CZIBOR,11,159,1978.0,HUN,0.0,3.0,3.0
171,Hungary,Zoltan CZIBOR,11,182,1982.0,HUN,10.0,2.0,12.0
172,Hungary,Zoltan CZIBOR,11,205,1986.0,HUN,2.0,0.0,2.0
173,Iraq,Ahmed RADHI,1,206,1986.0,IRQ,1.0,0.0,1.0
174,Israel,Mordechai SPIEGLER,1,126,1970.0,ISR,0.0,1.0,1.0
175,Italy,ZAMBROTTA ,9,22,1934.0,ITA,12.0,0.0,12.0
176,Italy,ZAMBROTTA ,9,36,1938.0,ITA,11.0,0.0,11.0
177,Italy,ZAMBROTTA ,9,49,1950.0,ITA,2.0,2.0,4.0
178,Italy,ZAMBROTTA ,9,64,1954.0,ITA,4.0,2.0,6.0
179,Italy,ZAMBROTTA ,9,98,1962.0,ITA,3.0,0.0,3.0
180,Italy,ZAMBROTTA ,9,114,1966.0,ITA,2.0,0.0,2.0
181,Italy,ZAMBROTTA ,9,127,1970.0,ITA,9.0,1.0,10.0
182,Italy,ZAMBROTTA ,9,145,1974.0,ITA,3.0,2.0,5.0
183,Italy,ZAMBROTTA ,9,162,1978.0,ITA,7.0,2.0,9.0
184,Italy,ZAMBROTTA ,9,183,1982.0,ITA,10.0,2.0,12.0
185,Italy,ZAMBROTTA ,9,207,1986.0,ITA,1.0,4.0,5.0
186,Italy,ZAMBROTTA ,9,230,1990.0,ITA,10.0,0.0,10.0
187,Italy,ZAMBROTTA ,9,253,1994.0,ITA,4.0,4.0,8.0
188,Italy,ZAMBROTTA ,9,281,1998.0,ITA,8.0,0.0,8.0
189,Italy,ZAMBROTTA ,9,312,2002.0,ITA,3.0,2.0,5.0
190,Italy,ZAMBROTTA ,9,346,2006.0,ITA,8.0,4.0,12.0
191,Italy,ZAMBROTTA ,9,378,2010.0,ITA,2.0,2.0,4.0
192,Italy,ZAMBROTTA ,9,416,2014.0,ITA,0.0,2.0,2.0
193,Jamaica,Theodore WHITMORE,2,282,1998.0,JAM,1.0,2.0,3.0
194,Japan,TAMADA,3,283,1998.0,JPN,1.0,0.0,1.0
195,Japan,TAMADA,3,313,2002.0,JPN,3.0,2.0,5.0
196,Japan,TAMADA,3,347,2006.0,JPN,1.0,1.0,2.0
197,Japan,TAMADA,3,379,2010.0,JPN,1.0,3.0,4.0
198,Japan,TAMADA,3,417,2014.0,JPN,1.0,1.0,2.0
199,Kuwait,Faisal AL DAKHIL,1,184,1982.0,KWT,0.0,2.0,2.0
200,Mexico,Victor RANGEL,3,6,1930.0,MEX,0.0,4.0,4.0
201,Mexico,Victor RANGEL,3,50,1950.0,MEX,0.0,2.0,2.0
202,Mexico,Victor RANGEL,3,66,1954.0,MEX,0.0,2.0,2.0
203,Mexico,Victor RANGEL,3,80,1958.0,MEX,1.0,0.0,1.0
204,Mexico,Victor RANGEL,3,99,1962.0,MEX,3.0,0.0,3.0
205,Mexico,Victor RANGEL,3,115,1966.0,MEX,0.0,1.0,1.0
206,Mexico,Victor RANGEL,3,129,1970.0,MEX,5.0,1.0,6.0
207,Mexico,Victor RANGEL,3,163,1978.0,MEX,0.0,2.0,2.0
208,Mexico,Victor RANGEL,3,210,1986.0,MEX,3.0,3.0,6.0
209,Mexico,Victor RANGEL,3,257,1994.0,MEX,3.0,1.0,4.0
210,Mexico,Victor RANGEL,3,287,1998.0,MEX,0.0,8.0,8.0
211,Mexico,Victor RANGEL,3,316,2002.0,MEX,3.0,1.0,4.0
212,Mexico,Victor RANGEL,3,350,2006.0,MEX,3.0,2.0,5.0
213,Mexico,Victor RANGEL,3,381,2010.0,MEX,0.0,4.0,4.0
214,Mexico,Victor RANGEL,3,419,2014.0,MEX,1.0,5.0,6.0
