,Year,Team Initials,Team Name,Home Team Goals,Away Team Goals,Total_goals
318,2002.0,PAR,Paraguay,2.0,4.0,6.0
319,2002.0,POL,Poland,3.0,0.0,3.0
320,2002.0,POR,Portugal,4.0,2.0,6.0
321,2002.0,RSA,South Africa,3.0,2.0,5.0
322,2002.0,RUS,Russia,2.0,2.0,4.0
323,2002.0,SEN,Senegal,3.0,4.0,7.0
324,2002.0,SVN,Slovenia,1.0,1.0,2.0
325,2002.0,SWE,Sweden,4.0,1.0,5.0
326,2002.0,TUN,Tunisia,1.0,0.0,1.0
327,2002.0,TUR,Turkey,3.0,7.0,10.0
328,2002.0,URU,Uruguay,1.0,3.0,4.0
329,2002.0,USA,USA,3.0,4.0,7.0
330,2006.0,ANG,Angola,0.0,1.0,1.0
331,2006.0,ARG,Argentina,10.0,1.0,11.0
332,2006.0,AUS,Australia,3.0,2.0,5.0
333,2006.0,BRA,Brazil,6.0,4.0,10.0
334,2006.0,CIV,C�te d'Ivoire,3.0,2.0,5.0
335,2006.0,CRC,Costa Rica,1.0,2.0,3.0
336,2006.0,CRO,Croatia,2.0,0.0,2.0
337,2006.0,CZE,Czech Republic,0.0,3.0,3.0
338,2006.0,ECU,Ecuador,3.0,2.0,5.0
339,2006.0,ENG,England,4.0,2.0,6.0
340,2006.0,ESP,Spain,8.0,1.0,9.0
341,2006.0,FRA,France,1.0,8.0,9.0
342,2006.0,GER,Germany,11.0,3.0,14.0
343,2006.0,GHA,Ghana,2.0,2.0,4.0
344,2006.0,IRN,IR Iran,0.0,0.0,0.0
345,2006.0,IRN,Iran,1.0,1.0,2.0
346,2006.0,ITA,Italy,8.0,4.0,12.0
347,2006.0,JPN,Japan,1.0,1.0,2.0
348,2006.0,KOR,Korea Republic,2.0,1.0,3.0
349,2006.0,KSA,Saudi Arabia,0.0,2.0,2.0
350,2006.0,MEX,Mexico,3.0,2.0,5.0
351,2006.0,NED,Netherlands,2.0,1.0,3.0
352,2006.0,PAR,Paraguay,2.0,0.0,2.0
353,2006.0,POL,Poland,0.0,2.0,2.0
354,2006.0,POR,Portugal,5.0,2.0,7.0
355,2006.0,SCG,"rn"">Serbia and Montenegro",0.0,2.0,2.0
356,2006.0,SUI,Switzerland,2.0,2.0,4.0
357,2006.0,SWE,Sweden,3.0,0.0,3.0
358,2006.0,TOG,Togo,0.0,1.0,1.0
359,2006.0,TRI,"rn"">Trinidad and Tobago",0.0,0.0,0.0
360,2006.0,TUN,Tunisia,2.0,1.0,3.0
361,2006.0,UKR,Ukraine,1.0,4.0,5.0
362,2006.0,USA,USA,0.0,2.0,2.0
363,2010.0,ALG,Algeria,0.0,0.0,0.0
364,2010.0,ARG,Argentina,8.0,2.0,10.0
365,2010.0,AUS,Australia,2.0,1.0,3.0
366,2010.0,BRA,Brazil,8.0,1.0,9.0
367,2010.0,CHI,Chile,2.0,1.0,3.0
368,2010.0,CIV,C�te d'Ivoire,0.0,4.0,4.0
369,2010.0,CMR,Cameroon,2.0,0.0,2.0
370,2010.0,DEN,Denmark,1.0,2.0,3.0
371,2010.0,ENG,England,1.0,2.0,3.0
372,2010.0,ESP,Spain,3.0,5.0,8.0
373,2010.0,FRA,France,1.0,0.0,1.0
374,2010.0,GER,Germany,8.0,8.0,16.0
375,2010.0,GHA,Ghana,1.0,4.0,5.0
376,2010.0,GRE,Greece,2.0,0.0,2.0
377,2010.0,HON,Honduras,0.0,0.0,0.0
378,2010.0,ITA,Italy,2.0,2.0,4.0
379,2010.0,JPN,Japan,1.0,3.0,4.0
380,2010.0,KOR,Korea Republic,2.0,4.0,6.0
381,2010.0,MEX,Mexico,0.0,4.0,4.0
382,2010.0,NED,Netherlands,7.0,5.0,12.0
383,2010.0,NGA,Nigeria,2.0,1.0,3.0
384,2010.0,NZL,New Zealand,1.0,1.0,2.0
385,2010.0,PAR,Paraguay,0.0,3.0,3.0
386,2010.0,POR,Portugal,7.0,0.0,7.0
387,2010.0,PRK,Korea DPR,0.0,1.0,1.0
388,2010.0,RSA,South Africa,1.0,2.0,3.0
389,2010.0,SRB,Serbia,0.0,2.0,2.0
390,2010.0,SUI,Switzerland,0.0,1.0,1.0
391,2010.0,SVK,Slovakia,3.0,2.0,5.0
392,2010.0,SVN,Slovenia,2.0,1.0,3.0
393,2010.0,URU,Uruguay,7.0,4.0,11.0
394,2010.0,USA,USA,2.0,3.0,5.0
395,2014.0,ALG,Algeria,1.0,7.0,8.0
396,2014.0,ARG,Argentina,7.0,3.0,10.0
397,2014.0,AUS,Australia,2.0,1.0,3.0
398,2014.0,BEL,Belgium,7.0,1.0,8.0
399,2014.0,BIH,"rn"">Bosnia and Herzegovina",3.0,1.0,4.0
400,2014.0,BRA,Brazil,11.0,4.0,15.0
401,2014.0,CHI,Chile,3.0,4.0,7.0
402,2014.0,CIV,C�te d'Ivoire,2.0,2.0,4.0
403,2014.0,CMR,Cameroon,1.0,0.0,1.0
404,2014.0,COL,Colombia,9.0,6.0,15.0
405,2014.0,CRC,Costa Rica,2.0,4.0,6.0
406,2014.0,CRO,Croatia,1.0,5.0,6.0
407,2014.0,ECU,Ecuador,0.0,3.0,3.0
408,2014.0,ENG,England,1.0,1.0,2.0
409,2014.0,ESP,Spain,1.0,3.0,4.0
410,2014.0,FRA,France,7.0,5.0,12.0
411,2014.0,GER,Germany,12.0,17.0,29.0
412,2014.0,GHA,Ghana,1.0,3.0,4.0
413,2014.0,GRE,Greece,2.0,2.0,4.0
414,2014.0,HON,Honduras,1.0,0.0,1.0
415,2014.0,IRN,IR Iran,0.0,1.0,1.0
416,2014.0,ITA,Italy,0.0,2.0,2.0
417,2014.0,JPN,Japan,1.0,1.0,2.0
418,2014.0,KOR,Korea Republic,2.0,1.0,3.0
419,2014.0,MEX,Mexico,1.0,5.0,6.0
420,2014.0,NED,Netherlands,6.0,14.0,20.0
421,2014.0,NGA,Nigeria,3.0,0.0,3.0
422,2014.0,POR,Portugal,2.0,2.0,4.0
423,2014.0,RUS,Russia,1.0,1.0,2.0
424,2014.0,SUI,Switzerland,4.0,3.0,7.0
425,2014.0,URU,Uruguay,3.0,1.0,4.0
426,2014.0,USA,USA,2.0,4.0,6.0
