League,Team,Season,Player
england,Manchester Utd,2014,patrice evra
england,Manchester Utd,2014,phil jones
england,Manchester Utd,2014,rafael
england,Manchester Utd,2014,robin van persie
england,Manchester Utd,2014,shinji kagawa
england,Manchester Utd,2014,tom cleverley
england,Manchester Utd,2014,tom lawrence
england,Manchester Utd,2014,wayne rooney
france,Marseille,2014,benjamin mendy
france,Marseille,2014,dimitri payet
france,Marseille,2014,florian thauvin
france,Marseille,2014,mathieu valbuena
france,Marseille,2014,nicolas nkoulou
france,Marseille,2014,rod fanni
france,Marseille,2014,steve mandanda
france,Montpellier,2014,abdelhamid el kaoutari
france,Montpellier,2014,anthony mounier
france,Montpellier,2014,benjamin stambouli
france,Montpellier,2014,bryan dabo
france,Montpellier,2014,djamel bakar
france,Montpellier,2014,geoffrey jourdren
france,Montpellier,2014,hilton
france,Montpellier,2014,jamel saihi
france,Montpellier,2014,jonas martin
france,Montpellier,2014,jonathan tinhan
france,Montpellier,2014,joris marveaux
france,Montpellier,2014,laurent pionnier
france,Montpellier,2014,mathieu deplagne
france,Montpellier,2014,morgan sanson
france,Montpellier,2014,souleymane camara
france,Nantes,2014,adrien trebel
france,Nantes,2014,alejandro bedoya
france,Nantes,2014,chaker alhadhur
france,Nantes,2014,fernando aristeguieta
france,Nantes,2014,issa cissokho
france,Nantes,2014,jordan veretout
france,Nantes,2014,koffi djidji
france,Nantes,2014,lucas deaux
france,Nantes,2014,olivier veigneau
france,Nantes,2014,oswaldo vizcarrondo
france,Nantes,2014,papy djilobodji
france,Nantes,2014,vincent bessat
italy,Napoli,2014,bruno uvini
italy,Napoli,2014,christian maggio
italy,Napoli,2014,dries mertens
italy,Napoli,2014,faouzi ghoulam
italy,Napoli,2014,giandomenico mesto
italy,Napoli,2014,goran pandev
italy,Napoli,2014,jorginho
italy,Napoli,2014,lorenzo insigne
italy,Napoli,2014,valon behrami
england,Newcastle,2014,adam armstrong
england,Newcastle,2014,anders lindegaard
england,Newcastle,2014,dan gosling
england,Newcastle,2014,davide santon
england,Newcastle,2014,fabricio coloccini
england,Newcastle,2014,hatem ben arfa
england,Newcastle,2014,luuk de jong
england,Newcastle,2014,mathieu debuchy
england,Newcastle,2014,moussa sissoko
england,Newcastle,2014,paul dummett
england,Newcastle,2014,sammy ameobi
england,Newcastle,2014,shola ameobi
england,Newcastle,2014,steven taylor
england,Newcastle,2014,sylvain marveaux
england,Newcastle,2014,tim krul
england,Newcastle,2014,vurnon anita
england,Newcastle,2014,yoan gouffran
england,Newcastle,2014,yohan cabaye
france,Nice,2014,albert rafetraniaina
france,Nice,2014,alexy bosetti
france,Nice,2014,bryan constant
france,Nice,2014,david ospina
france,Nice,2014,didier digard
france,Nice,2014,dimitri foulquier
france,Nice,2014,franck honorat
france,Nice,2014,jordan amavi
france,Nice,2014,kevin gomis
france,Nice,2014,lloyd palun
france,Nice,2014,luigi bruins
france,Nice,2014,mathieu bodmer
france,Nice,2014,mouez hassen
france,Nice,2014,nampalys mendy
france,Nice,2014,neal maupay
france,Nice,2014,romain genevois
france,Nice,2014,valentin eysseric
england,Norwich City,2014,alexander tettey
england,Norwich City,2014,anthony pilkington
england,Norwich City,2014,bradley johnson
england,Norwich City,2014,elliott bennett
england,Norwich City,2014,gary hooper
england,Norwich City,2014,john ruddy
england,Norwich City,2014,jonny howson
england,Norwich City,2014,josh murphy
england,Norwich City,2014,leroy fer
england,Norwich City,2014,martin olsson
england,Norwich City,2014,michael turner
england,Norwich City,2014,nathan redmond
england,Norwich City,2014,ricky van wolfswinkel
england,Norwich City,2014,robert snodgrass
england,Norwich City,2014,russell martin
england,Norwich City,2014,ryan bennett
england,Norwich City,2014,steven whittaker
england,Norwich City,2014,wes hoolahan
germany,Nurnberg,2014,christopher avevor
germany,Nurnberg,2014,daniel ginczek
germany,Nurnberg,2014,emanuel pogatetz
germany,Nurnberg,2014,javier pinola
germany,Nurnberg,2014,konstantinos stafylidis
germany,Nurnberg,2014,makoto hasebe
germany,Nurnberg,2014,markus feulner
germany,Nurnberg,2014,martin angha
germany,Nurnberg,2014,marvin plattenhardt
germany,Nurnberg,2014,mike frantz
germany,Nurnberg,2014,niklas stark
germany,Nurnberg,2014,patrick rakovsky
spain,Osasuna,2014,ander herrera
spain,Osasuna,2014,emiliano armenteros
spain,Osasuna,2014,francisco silva
spain,Osasuna,2014,joan oriol
spain,Osasuna,2014,nino
spain,Osasuna,2014,oier
spain,Osasuna,2014,oriol riera
spain,Osasuna,2014,raul rusescu
spain,Osasuna,2014,roberto torres
france,Paris Saint-Germain,2014,adrien rabiot
france,Paris Saint-Germain,2014,alex
france,Paris Saint-Germain,2014,blaise matuidi
france,Paris Saint-Germain,2014,christophe jallet
france,Paris Saint-Germain,2014,edinson cavani
france,Paris Saint-Germain,2014,ezequiel lavezzi
france,Paris Saint-Germain,2014,gregory van der wiel
france,Paris Saint-Germain,2014,hervin ongenda
france,Paris Saint-Germain,2014,javier pastore
france,Paris Saint-Germain,2014,kingsley coman
france,Paris Saint-Germain,2014,lucas digne
france,Paris Saint-Germain,2014,marco verratti
france,Paris Saint-Germain,2014,marquinhos
france,Paris Saint-Germain,2014,maxwell
france,Paris Saint-Germain,2014,salvatore sirigu
france,Paris Saint-Germain,2014,thiago motta
france,Paris Saint-Germain,2014,thiago silva
france,Paris Saint-Germain,2014,yohan cabaye
italy,Parma,2014,afriyie acquah
italy,Parma,2014,antonio mirante
italy,Parma,2014,cristian molinaro
italy,Parma,2014,felipe
italy,Parma,2014,gabriel paletta
italy,Parma,2014,joel obi
italy,Parma,2014,jonathan biabiany
italy,Parma,2014,marco marchionni
italy,Parma,2014,marco parolo
italy,Parma,2014,massimo gobbi
italy,Parma,2014,mattia cassani
italy,Parma,2014,medhi benatia
italy,Parma,2014,raffaele palladino
italy,Parma,2014,walter gargano
spain,Rayo Vallecano,2014,johan mojica
spain,Rayo Vallecano,2014,leonel galeano
spain,Rayo Vallecano,2014,portu
spain,Rayo Vallecano,2014,samuele longo
spain,Rayo Vallecano,2014,tito
spain,Real Betis,2014,caro
spain,Real Betis,2014,cedric
spain,Real Betis,2014,cedrick
spain,Real Betis,2014,chuli
spain,Real Betis,2014,damien perquis
spain,Real Betis,2014,guillermo sara
spain,Real Betis,2014,jordi figueras
spain,Real Betis,2014,jorge molina
spain,Real Betis,2014,juanma
spain,Real Betis,2014,lorenzo reyes
spain,Real Betis,2014,nono
spain,Real Betis,2014,nosa
spain,Real Betis,2014,salva sevilla
spain,Real Betis,2014,stephan andersen
spain,Real Betis,2014,xavi torres
spain,Real Madrid,2014,casemiro
spain,Real Madrid,2014,cristiano ronaldo
spain,Real Madrid,2014,diego llorente
spain,Real Madrid,2014,edu ramos
spain,Real Madrid,2014,gareth bale
spain,Real Madrid,2014,isco
spain,Real Madrid,2014,karim benzema
spain,Real Madrid,2014,marcelo
spain,Real Madrid,2014,pepe
spain,Real Madrid,2014,sami khedira
spain,Real Madrid,2014,sergio ramos
spain,Real Madrid,2014,vigaray
spain,Real Madrid,2014,xabi alonso
spain,Real Sociedad,2014,antoine griezmann
spain,Real Sociedad,2014,carlos vela
spain,Real Sociedad,2014,claudio bravo
spain,Real Sociedad,2014,gonzalo castro
spain,Real Sociedad,2014,javi ros
spain,Real Sociedad,2014,juanma
spain,Real Sociedad,2014,markel bergara
spain,Real Sociedad,2014,mikel gonzalez
spain,Real Sociedad,2014,xabi prieto
spain,Real Valladolid,2014,alcatraz
spain,Real Valladolid,2014,antonio rukavina
spain,Real Valladolid,2014,daniel larsson
spain,Real Valladolid,2014,fausto rossi
spain,Real Valladolid,2014,javi guerra
spain,Real Valladolid,2014,manucho
spain,Real Valladolid,2014,omar ramos
spain,Real Valladolid,2014,oscar
spain,Real Valladolid,2014,patrick ebert
spain,Real Valladolid,2014,valdet rama
spain,Real Valladolid,2014,zakarya bergdich
germany,SC Freiburg,2014,admir mehmedi
germany,SC Freiburg,2014,alexander schwolow
germany,SC Freiburg,2014,fallou diagne
germany,SC Freiburg,2014,felix klaus
germany,SC Freiburg,2014,francis coquelin
germany,SC Freiburg,2014,gelson fernandes
germany,SC Freiburg,2014,jonathan schmid
germany,SC Freiburg,2014,julian schuster
germany,SC Freiburg,2014,marco terrazzino
germany,SC Freiburg,2014,matthias ginter
germany,SC Freiburg,2014,oliver baumann
germany,SC Freiburg,2014,oliver sorg
germany,SC Freiburg,2014,philipp zulechner
germany,SC Freiburg,2014,sebastian freis
germany,SC Freiburg,2014,sebastian kerk
germany,SC Freiburg,2014,willi evseev
italy,Sampdoria,2014,andrea costa
italy,Sampdoria,2014,angelo palombo
italy,Sampdoria,2014,bartosz salamon
italy,Sampdoria,2014,birkir bjarnason
italy,Sampdoria,2014,daniele gastaldello
italy,Sampdoria,2014,davide gavazzi
italy,Sampdoria,2014,eder
italy,Sampdoria,2014,gaetano berardi
italy,Sampdoria,2014,gianluca sansone
italy,Sampdoria,2014,lorenzo de silvestri
italy,Sampdoria,2014,manolo gabbiadini
italy,Sampdoria,2014,michele fornasier
italy,Sampdoria,2014,mirko eramo
italy,Sampdoria,2014,pedro obiang
italy,Sampdoria,2014,roberto soriano
