Place,Team,GP,W,D,L,GF,GA,GD,P,Year,League
2,DEP,38,20,8,10,65,41,24,68,2001,Spanish La Liga
3,MAD,38,19,9,10,69,44,25,66,2001,Spanish La Liga
4,BAR,38,18,10,10,65,37,28,64,2001,Spanish La Liga
5,CEL,38,16,12,10,64,46,18,60,2001,Spanish La Liga
6,BET,38,15,14,9,42,34,8,59,2001,Spanish La Liga
7,ALV,38,17,3,18,41,44,-3,54,2001,Spanish La Liga
8,SEV,38,14,11,13,51,40,11,53,2001,Spanish La Liga
9,ATH,38,14,11,13,54,66,-12,53,2001,Spanish La Liga
10,MCF,38,13,14,11,44,44,0,53,2001,Spanish La Liga
11,RAY,38,13,10,15,46,52,-6,49,2001,Spanish La Liga
12,VALL,38,13,9,16,45,58,-13,48,2001,Spanish La Liga
13,RSO,38,13,8,17,48,54,-6,47,2001,Spanish La Liga
14,ESP,38,13,8,17,47,56,-9,47,2001,Spanish La Liga
15,VIL,38,11,10,17,46,55,-9,43,2001,Spanish La Liga
16,MAL,38,11,10,17,40,52,-12,43,2001,Spanish La Liga
17,OSA,38,10,12,16,36,49,-13,42,2001,Spanish La Liga
18,LPA,38,9,13,16,40,50,-10,40,2001,Spanish La Liga
19,TEN,38,10,8,20,32,58,-26,38,2001,Spanish La Liga
20,ZAR,38,9,10,19,35,54,-19,37,2001,Spanish La Liga
1,MAD,38,22,12,4,86,42,44,78,2002,Spanish La Liga
2,RSO,38,22,10,6,71,45,26,76,2002,Spanish La Liga
3,DEP,38,22,6,10,67,47,20,72,2002,Spanish La Liga
4,CEL,38,17,10,11,45,36,9,61,2002,Spanish La Liga
5,VAL,38,17,9,12,56,35,21,60,2002,Spanish La Liga
6,BAR,38,15,11,12,63,47,16,56,2002,Spanish La Liga
7,ATH,38,15,10,13,63,61,2,55,2002,Spanish La Liga
8,BET,38,14,12,12,56,53,3,54,2002,Spanish La Liga
9,MAL,38,14,10,14,49,56,-7,52,2002,Spanish La Liga
10,SEV,38,13,11,14,38,39,-1,50,2002,Spanish La Liga
11,OSA,38,12,11,15,40,48,-8,47,2002,Spanish La Liga
12,ATL,38,12,11,15,51,56,-5,47,2002,Spanish La Liga
13,MCF,38,11,13,14,44,49,-5,46,2002,Spanish La Liga
14,VALL,38,12,10,16,37,40,-3,46,2002,Spanish La Liga
15,VIL,38,11,12,15,44,53,-9,45,2002,Spanish La Liga
16,RAC,38,13,5,20,54,64,-10,44,2002,Spanish La Liga
17,ESP,38,10,13,15,48,54,-6,43,2002,Spanish La Liga
18,HUE,38,8,12,18,35,61,-26,36,2002,Spanish La Liga
19,ALV,38,8,11,19,38,68,-30,35,2002,Spanish La Liga
20,RAY,38,7,11,20,31,62,-31,32,2002,Spanish La Liga
1,VAL,38,23,8,7,71,27,44,77,2003,Spanish La Liga
2,BAR,38,21,9,8,63,39,24,72,2003,Spanish La Liga
3,DEP,38,21,8,9,60,34,26,71,2003,Spanish La Liga
4,MAD,38,21,7,10,72,54,18,70,2003,Spanish La Liga
5,ATH,38,15,11,12,53,49,4,56,2003,Spanish La Liga
6,SEV,38,15,10,13,56,45,11,55,2003,Spanish La Liga
7,ATL,38,15,10,13,51,53,-2,55,2003,Spanish La Liga
8,VIL,38,15,9,14,47,49,-2,54,2003,Spanish La Liga
9,BET,38,13,13,12,46,43,3,52,2003,Spanish La Liga
10,MCF,38,15,6,17,50,55,-5,51,2003,Spanish La Liga
11,MAL,38,15,6,17,54,66,-12,51,2003,Spanish La Liga
12,ZAR,38,13,9,16,46,55,-9,48,2003,Spanish La Liga
13,OSA,38,11,15,12,38,37,1,48,2003,Spanish La Liga
14,ALB,38,13,8,17,40,48,-8,47,2003,Spanish La Liga
15,RSO,38,11,13,14,49,53,-4,46,2003,Spanish La Liga
16,ESP,38,13,4,21,48,64,-16,43,2003,Spanish La Liga
17,RAC,38,11,10,17,48,63,-15,42,2003,Spanish La Liga
18,VALL,38,10,11,17,46,56,-10,41,2003,Spanish La Liga
19,CEL,38,9,12,17,48,68,-20,39,2003,Spanish La Liga
20,MUR,38,5,11,22,29,57,-28,26,2003,Spanish La Liga
1,BAR,38,25,9,4,73,29,44,84,2004,Spanish La Liga
2,MAD,38,25,5,8,71,32,39,80,2004,Spanish La Liga
3,VIL,38,18,11,9,69,37,32,65,2004,Spanish La Liga
4,BET,38,16,14,8,62,50,12,62,2004,Spanish La Liga
5,ESP,38,17,10,11,54,46,8,61,2004,Spanish La Liga
6,SEV,38,17,9,12,44,41,3,60,2004,Spanish La Liga
7,VAL,38,14,16,8,54,39,15,58,2004,Spanish La Liga
8,DEP,38,12,15,11,46,50,-4,51,2004,Spanish La Liga
9,ATH,38,14,9,15,59,54,5,51,2004,Spanish La Liga
10,MCF,38,15,6,17,40,48,-8,51,2004,Spanish La Liga
11,ATL,38,13,11,14,40,34,6,50,2004,Spanish La Liga
12,ZAR,38,14,8,16,52,57,-5,50,2004,Spanish La Liga
13,GET,38,12,11,15,38,46,-8,47,2004,Spanish La Liga
14,RSO,38,13,8,17,47,56,-9,47,2004,Spanish La Liga
15,OSA,38,12,10,16,46,65,-19,46,2004,Spanish La Liga
16,RAC,38,12,8,18,41,58,-17,44,2004,Spanish La Liga
17,MAL,38,10,9,19,42,63,-21,39,2004,Spanish La Liga
18,LEV,38,9,10,19,39,58,-19,37,2004,Spanish La Liga
19,NUM,38,6,11,21,30,61,-31,29,2004,Spanish La Liga
20,ALB,38,6,10,22,33,56,-23,28,2004,Spanish La Liga
1,BAR,38,25,7,6,80,35,45,82,2005,Spanish La Liga
2,MAD,38,20,10,8,70,40,30,70,2005,Spanish La Liga
3,VAL,38,19,12,7,58,33,25,69,2005,Spanish La Liga
4,OSA,38,21,5,12,49,43,6,68,2005,Spanish La Liga
5,SEV,38,20,8,10,54,39,15,68,2005,Spanish La Liga
6,CEL,38,20,4,14,45,33,12,64,2005,Spanish La Liga
7,VIL,38,14,15,9,50,39,11,57,2005,Spanish La Liga
8,DEP,38,15,10,13,47,45,2,55,2005,Spanish La Liga
9,GET,38,15,9,14,54,49,5,54,2005,Spanish La Liga
10,ATL,38,13,13,12,45,37,8,52,2005,Spanish La Liga
11,ZAR,38,10,16,12,46,51,-5,46,2005,Spanish La Liga
12,ATH,38,11,12,15,40,46,-6,45,2005,Spanish La Liga
13,MAL,38,10,13,15,37,51,-14,43,2005,Spanish La Liga
14,BET,38,10,12,16,34,51,-17,42,2005,Spanish La Liga
15,ESP,38,10,11,17,36,56,-20,41,2005,Spanish La Liga
16,RSO,38,11,7,20,48,65,-17,40,2005,Spanish La Liga
17,RAC,38,9,13,16,36,49,-13,40,2005,Spanish La Liga
18,ALV,38,9,12,17,35,54,-19,39,2005,Spanish La Liga
19,CAD,38,8,12,18,36,52,-16,36,2005,Spanish La Liga
20,MCF,38,5,9,24,36,68,-32,24,2005,Spanish La Liga
1,MAD,38,23,7,8,66,40,26,76,2006,Spanish La Liga
2,BAR,38,22,10,6,78,33,45,76,2006,Spanish La Liga
3,SEV,38,21,8,9,64,35,29,71,2006,Spanish La Liga
4,VAL,38,20,6,12,57,42,15,66,2006,Spanish La Liga
5,VIL,38,18,8,12,48,44,4,62,2006,Spanish La Liga
6,ZAR,38,16,12,10,55,43,12,60,2006,Spanish La Liga
7,ATL,38,17,9,12,46,39,7,60,2006,Spanish La Liga
8,HUE,38,15,9,14,54,52,2,54,2006,Spanish La Liga
9,GET,38,14,10,14,39,33,6,52,2006,Spanish La Liga
10,RAC,38,12,14,12,42,48,-6,50,2006,Spanish La Liga
11,ESP,38,12,13,13,46,53,-7,49,2006,Spanish La Liga
12,MAL,38,14,7,17,41,47,-6,49,2006,Spanish La Liga
13,DEP,38,12,11,15,32,45,-13,47,2006,Spanish La Liga
14,OSA,38,13,7,18,51,49,2,46,2006,Spanish La Liga
15,LEV,38,10,12,16,37,53,-16,42,2006,Spanish La Liga
16,BET,38,8,16,14,36,49,-13,40,2006,Spanish La Liga
17,ATH,38,10,10,18,44,62,-18,40,2006,Spanish La Liga
18,CEL,38,10,9,19,40,59,-19,39,2006,Spanish La Liga
19,RSO,38,8,11,19,32,47,-15,35,2006,Spanish La Liga
20,GIM,38,7,7,24,34,69,-35,28,2006,Spanish La Liga
1,MAD,38,27,4,7,84,36,48,85,2007,Spanish La Liga
2,VIL,38,24,5,9,63,40,23,77,2007,Spanish La Liga
3,BAR,38,19,10,9,76,43,33,67,2007,Spanish La Liga
4,ATL,38,19,7,12,66,47,19,64,2007,Spanish La Liga
5,SEV,38,20,4,14,75,49,26,64,2007,Spanish La Liga
6,RAC,38,17,9,12,42,41,1,60,2007,Spanish La Liga
7,MAL,38,15,14,9,69,54,15,59,2007,Spanish La Liga
8,ALM,38,14,10,14,42,45,-3,52,2007,Spanish La Liga
9,DEP,38,15,7,16,46,47,-1,52,2007,Spanish La Liga
10,VAL,38,15,6,17,48,62,-14,51,2007,Spanish La Liga
11,ATH,38,13,11,14,40,43,-3,50,2007,Spanish La Liga
12,ESP,38,13,9,16,43,53,-10,48,2007,Spanish La Liga
13,BET,38,12,11,15,45,51,-6,47,2007,Spanish La Liga
14,GET,38,12,11,15,44,48,-4,47,2007,Spanish La Liga
15,VALL,38,11,12,15,42,57,-15,45,2007,Spanish La Liga
16,HUE,38,11,11,16,40,60,-20,44,2007,Spanish La Liga
17,OSA,38,12,7,19,37,44,-7,43,2007,Spanish La Liga
18,ZAR,38,10,12,16,50,61,-11,42,2007,Spanish La Liga
19,MUR,38,7,9,22,36,65,-29,30,2007,Spanish La Liga
20,LEV,38,7,5,26,33,75,-42,26,2007,Spanish La Liga
1,BAR,38,27,6,5,105,35,70,87,2008,Spanish La Liga
2,MAD,38,25,3,10,83,52,31,78,2008,Spanish La Liga
3,SEV,38,21,7,10,54,39,15,70,2008,Spanish La Liga
4,ATL,38,20,7,11,80,57,23,67,2008,Spanish La Liga
5,VIL,38,18,11,9,61,54,7,65,2008,Spanish La Liga
6,VAL,38,18,8,12,68,54,14,62,2008,Spanish La Liga
7,DEP,38,16,10,12,48,47,1,58,2008,Spanish La Liga
8,MCF,38,15,10,13,55,59,-4,55,2008,Spanish La Liga
9,MAL,38,14,9,15,53,60,-7,51,2008,Spanish La Liga
10,ESP,38,12,11,15,46,49,-3,47,2008,Spanish La Liga
11,ALM,38,13,7,18,45,61,-16,46,2008,Spanish La Liga
12,RAC,38,12,10,16,49,48,1,46,2008,Spanish La Liga
13,ATH,38,12,8,18,47,62,-15,44,2008,Spanish La Liga
14,RSG,38,14,1,23,47,79,-32,43,2008,Spanish La Liga
15,OSA,38,10,13,15,41,47,-6,43,2008,Spanish La Liga
16,VALL,38,12,7,19,46,58,-12,43,2008,Spanish La Liga
17,GET,38,10,12,16,50,56,-6,42,2008,Spanish La Liga
18,BET,38,10,12,16,51,58,-7,42,2008,Spanish La Liga
19,NUM,38,10,5,23,38,69,-31,35,2008,Spanish La Liga
20,HUE,38,8,9,21,34,57,-23,33,2008,Spanish La Liga
1,BAR,38,31,6,1,98,24,74,99,2009,Spanish La Liga
2,MAD,38,31,3,4,102,35,67,96,2009,Spanish La Liga
3,VAL,38,21,8,9,59,40,19,71,2009,Spanish La Liga
4,SEV,38,19,6,13,65,49,16,63,2009,Spanish La Liga
5,MAL,38,18,8,12,59,44,15,62,2009,Spanish La Liga
6,GET,38,17,7,14,58,48,10,58,2009,Spanish La Liga
7,VIL,38,16,8,14,58,57,1,56,2009,Spanish La Liga
8,ATH,38,15,9,14,50,53,-3,54,2009,Spanish La Liga
9,ATL,38,13,8,17,57,61,-4,47,2009,Spanish La Liga
10,DEP,38,13,8,17,35,49,-14,47,2009,Spanish La Liga
11,ESP,38,11,11,16,29,46,-17,44,2009,Spanish La Liga
12,OSA,38,11,10,17,37,46,-9,43,2009,Spanish La Liga
13,ALM,38,10,12,16,43,55,-12,42,2009,Spanish La Liga
14,ZAR,38,10,11,17,46,64,-18,41,2009,Spanish La Liga
15,RSG,38,9,13,16,36,51,-15,40,2009,Spanish La Liga
16,RAC,38,9,12,17,42,59,-17,39,2009,Spanish La Liga
17,MCF,38,7,16,15,42,48,-6,37,2009,Spanish La Liga
18,VALL,38,7,15,16,37,62,-25,36,2009,Spanish La Liga
19,TEN,38,9,9,20,40,74,-34,36,2009,Spanish La Liga
20,XER,38,8,10,20,38,66,-28,34,2009,Spanish La Liga
1,BAR,38,30,6,2,95,21,74,96,2010,Spanish La Liga
2,MAD,38,29,5,4,102,33,69,92,2010,Spanish La Liga
3,VAL,38,21,8,9,64,44,20,71,2010,Spanish La Liga
4,VIL,38,18,8,12,54,44,10,62,2010,Spanish La Liga
5,SEV,38,17,7,14,62,61,1,58,2010,Spanish La Liga
6,ATH,38,18,4,16,59,55,4,58,2010,Spanish La Liga
7,ATL,38,17,7,14,62,53,9,58,2010,Spanish La Liga
8,ESP,38,15,4,19,46,55,-9,49,2010,Spanish La Liga
9,OSA,38,13,8,17,45,46,-1,47,2010,Spanish La Liga
10,RSG,38,11,14,13,35,42,-7,47,2010,Spanish La Liga
11,MCF,38,13,7,18,54,68,-14,46,2010,Spanish La Liga
12,RAC,38,12,10,16,41,56,-15,46,2010,Spanish La Liga
13,ZAR,38,12,9,17,40,53,-13,45,2010,Spanish La Liga
14,LEV,38,12,9,17,41,52,-11,45,2010,Spanish La Liga
15,RSO,38,14,3,21,49,66,-17,45,2010,Spanish La Liga
16,GET,38,12,8,18,49,60,-11,44,2010,Spanish La Liga
17,MAL,38,12,8,18,41,56,-15,44,2010,Spanish La Liga
18,DEP,38,10,13,15,31,47,-16,43,2010,Spanish La Liga
19,HER,38,9,8,21,36,60,-24,35,2010,Spanish La Liga
20,ALM,38,6,12,20,36,70,-34,30,2010,Spanish La Liga
1,MAD,38,32,4,2,121,32,89,100,2011,Spanish La Liga
2,BAR,38,28,7,3,114,29,85,91,2011,Spanish La Liga
3,VAL,38,17,10,11,59,44,15,61,2011,Spanish La Liga
4,MCF,38,17,7,14,54,53,1,58,2011,Spanish La Liga
5,ATL,38,15,11,12,53,46,7,56,2011,Spanish La Liga
6,LEV,38,16,7,15,54,50,4,55,2011,Spanish La Liga
7,OSA,38,13,15,10,44,61,-17,54,2011,Spanish La Liga
8,MAL,38,14,10,14,42,46,-4,52,2011,Spanish La Liga
9,SEV,38,13,11,14,48,47,1,50,2011,Spanish La Liga
10,ATH,38,12,13,13,49,52,-3,49,2011,Spanish La Liga
11,GET,38,12,11,15,40,51,-11,47,2011,Spanish La Liga
12,RSO,38,12,11,15,46,52,-6,47,2011,Spanish La Liga
13,BET,38,13,8,17,47,56,-9,47,2011,Spanish La Liga
14,ESP,38,12,10,16,46,56,-10,46,2011,Spanish La Liga
15,RAY,38,13,4,21,53,73,-20,43,2011,Spanish La Liga
16,ZAR,38,12,7,19,36,61,-25,43,2011,Spanish La Liga
17,GCF,38,12,6,20,35,56,-21,42,2011,Spanish La Liga
18,VIL,38,9,14,15,39,53,-14,41,2011,Spanish La Liga
19,RSG,38,10,7,21,42,69,-27,37,2011,Spanish La Liga
20,RAC,38,4,15,19,28,63,-35,27,2011,Spanish La Liga
1,BAR,38,32,4,2,115,40,75,100,2012,Spanish La Liga
2,MAD,38,26,7,5,103,42,61,85,2012,Spanish La Liga
3,ATL,38,23,7,8,65,31,34,76,2012,Spanish La Liga
4,RSO,38,18,12,8,70,49,21,66,2012,Spanish La Liga
5,VAL,38,19,8,11,67,54,13,65,2012,Spanish La Liga
6,MCF,38,16,9,13,53,50,3,57,2012,Spanish La Liga
7,BET,38,16,8,14,57,56,1,56,2012,Spanish La Liga
8,RAY,38,16,5,17,50,66,-16,53,2012,Spanish La Liga
9,SEV,38,14,8,16,58,54,4,50,2012,Spanish La Liga
10,GET,38,13,8,17,43,57,-14,47,2012,Spanish La Liga
11,LEV,38,12,10,16,40,57,-17,46,2012,Spanish La Liga
12,ATH,38,12,9,17,44,65,-21,45,2012,Spanish La Liga
13,ESP,38,11,11,16,43,52,-9,44,2012,Spanish La Liga
14,VALL,38,11,10,17,49,58,-9,43,2012,Spanish La Liga
15,GCF,38,11,9,18,37,54,-17,42,2012,Spanish La Liga
16,OSA,38,10,9,19,33,50,-17,39,2012,Spanish La Liga
17,CEL,38,10,7,21,37,52,-15,37,2012,Spanish La Liga
18,MAL,38,9,9,20,43,72,-29,36,2012,Spanish La Liga
19,DEP,38,8,11,19,47,70,-23,35,2012,Spanish La Liga
20,ZAR,38,9,7,22,37,62,-25,34,2012,Spanish La Liga
1,ATL,38,28,6,4,77,26,51,90,2013,Spanish La Liga
2,BAR,38,27,6,5,100,33,67,87,2013,Spanish La Liga
3,MAD,38,27,6,5,104,38,66,87,2013,Spanish La Liga
4,ATH,38,20,10,8,66,39,27,70,2013,Spanish La Liga
5,SEV,38,18,9,11,69,52,17,63,2013,Spanish La Liga
6,VIL,38,17,8,13,60,44,16,59,2013,Spanish La Liga
7,RSO,38,16,11,11,62,55,7,59,2013,Spanish La Liga
8,VAL,38,13,10,15,51,53,-2,49,2013,Spanish La Liga
9,CEL,38,14,7,17,49,54,-5,49,2013,Spanish La Liga
10,LEV,38,12,12,14,35,43,-8,48,2013,Spanish La Liga
11,MCF,38,12,9,17,39,46,-7,45,2013,Spanish La Liga
12,RAY,38,13,4,21,46,80,-34,43,2013,Spanish La Liga
13,GET,38,11,9,18,35,54,-19,42,2013,Spanish La Liga
14,ESP,38,11,9,18,41,51,-10,42,2013,Spanish La Liga
15,GCF,38,12,5,21,32,56,-24,41,2013,Spanish La Liga
16,ELC,38,9,13,16,30,50,-20,40,2013,Spanish La Liga
17,ALM,38,11,7,20,43,71,-28,40,2013,Spanish La Liga
18,OSA,38,10,9,19,32,62,-30,39,2013,Spanish La Liga
19,VALL,38,7,15,16,38,60,-22,36,2013,Spanish La Liga
20,BET,38,6,7,25,36,78,-42,25,2013,Spanish La Liga
1,BAR,38,30,4,4,110,21,89,94,2014,Spanish La Liga
2,MAD,38,30,2,6,118,38,80,92,2014,Spanish La Liga
3,ATL,38,23,9,6,67,29,38,78,2014,Spanish La Liga
4,VAL,38,22,11,5,70,32,38,77,2014,Spanish La Liga
5,SEV,38,23,7,8,71,45,26,76,2014,Spanish La Liga
6,VIL,38,16,12,10,48,37,11,60,2014,Spanish La Liga
7,ATH,38,15,10,13,42,41,1,55,2014,Spanish La Liga
8,CEL,38,13,12,13,47,44,3,51,2014,Spanish La Liga
9,MCF,38,14,8,16,42,48,-6,50,2014,Spanish La Liga
10,ESP,38,13,10,15,47,51,-4,49,2014,Spanish La Liga
11,RAY,38,15,4,19,46,68,-22,49,2014,Spanish La Liga
12,RSO,38,11,13,14,44,51,-7,46,2014,Spanish La Liga
13,ELC,38,11,8,19,35,62,-27,41,2014,Spanish La Liga
14,LEV,38,9,10,19,34,67,-33,37,2014,Spanish La Liga
15,GET,38,10,7,21,33,64,-31,37,2014,Spanish La Liga
16,DEP,38,7,14,17,35,60,-25,35,2014,Spanish La Liga
17,GCF,38,7,14,17,29,64,-35,35,2014,Spanish La Liga
18,EIB,38,9,8,21,34,55,-21,35,2014,Spanish La Liga
19,ALM,38,8,8,22,35,64,-29,29,2014,Spanish La Liga
20,COR,38,3,11,24,22,68,-46,20,2014,Spanish La Liga
1,BAR,38,29,4,5,112,29,83,91,2015,Spanish La Liga
2,MAD,38,28,6,4,110,34,76,90,2015,Spanish La Liga
3,ATL,38,28,4,6,63,18,45,88,2015,Spanish La Liga
4,VIL,38,18,10,10,44,35,9,64,2015,Spanish La Liga
5,ATH,38,18,8,12,58,45,13,62,2015,Spanish La Liga
6,CEL,38,17,9,12,51,59,-8,60,2015,Spanish La Liga
7,SEV,38,14,10,14,51,50,1,52,2015,Spanish La Liga
8,MCF,38,12,12,14,38,35,3,48,2015,Spanish La Liga
9,RSO,38,13,9,16,45,48,-3,48,2015,Spanish La Liga
10,BET,38,11,12,15,34,52,-18,45,2015,Spanish La Liga
11,LPA,38,12,8,18,45,53,-8,44,2015,Spanish La Liga
12,VAL,38,11,11,16,46,48,-2,44,2015,Spanish La Liga
13,ESP,38,12,7,19,40,74,-34,43,2015,Spanish La Liga
14,EIB,38,11,10,17,49,61,-12,43,2015,Spanish La Liga
15,DEP,38,8,18,12,45,61,-16,42,2015,Spanish La Liga
16,GCF,38,10,9,19,46,69,-23,39,2015,Spanish La Liga
17,RSG,38,10,9,19,40,62,-22,39,2015,Spanish La Liga
18,RAY,38,9,11,18,52,73,-21,38,2015,Spanish La Liga
19,GET,38,9,9,20,37,67,-30,36,2015,Spanish La Liga
20,LEV,38,8,8,22,37,70,-33,32,2015,Spanish La Liga
1,MAD,38,29,6,3,106,41,65,93,2016,Spanish La Liga
2,BAR,38,28,6,4,116,37,79,90,2016,Spanish La Liga
3,ATL,38,23,9,6,70,27,43,78,2016,Spanish La Liga
4,SEV,38,21,9,8,69,49,20,72,2016,Spanish La Liga
5,VIL,38,19,10,9,56,33,23,67,2016,Spanish La Liga
6,RSO,38,19,7,12,59,53,6,64,2016,Spanish La Liga
7,ATH,38,19,6,13,53,43,10,63,2016,Spanish La Liga
8,ESP,38,15,11,12,49,50,-1,56,2016,Spanish La Liga
9,ALV,38,14,13,11,41,43,-2,55,2016,Spanish La Liga
10,EIB,38,15,9,14,56,51,5,54,2016,Spanish La Liga
11,MCF,38,12,10,16,49,55,-6,46,2016,Spanish La Liga
12,VAL,38,13,7,18,56,65,-9,46,2016,Spanish La Liga
13,CEL,38,13,6,19,53,69,-16,45,2016,Spanish La Liga
14,LPA,38,10,9,19,53,74,-21,39,2016,Spanish La Liga
15,BET,38,10,9,19,41,64,-23,39,2016,Spanish La Liga
16,DEP,38,8,12,18,43,61,-18,36,2016,Spanish La Liga
17,LEG,38,8,11,19,36,55,-19,35,2016,Spanish La Liga
18,RSG,38,7,10,21,42,72,-30,31,2016,Spanish La Liga
19,OSA,38,4,10,24,40,94,-54,22,2016,Spanish La Liga
20,GCF,38,4,8,26,30,82,-52,20,2016,Spanish La Liga
1,BAR,38,28,9,1,99,29,70,93,2017,Spanish La Liga
2,ATL,38,23,10,5,58,22,36,79,2017,Spanish La Liga
3,MAD,38,22,10,6,94,44,50,76,2017,Spanish La Liga
4,VAL,38,22,7,9,65,38,27,73,2017,Spanish La Liga
5,VIL,38,18,7,13,57,50,7,61,2017,Spanish La Liga
6,BET,38,18,6,14,60,61,-1,60,2017,Spanish La Liga
7,SEV,38,17,7,14,49,58,-9,58,2017,Spanish La Liga
8,GET,38,15,10,13,42,33,9,55,2017,Spanish La Liga
9,EIB,38,14,9,15,44,50,-6,51,2017,Spanish La Liga
10,GIR,38,14,9,15,50,59,-9,51,2017,Spanish La Liga
11,ESP,38,12,13,13,36,42,-6,49,2017,Spanish La Liga
12,RSO,38,14,7,17,66,59,7,49,2017,Spanish La Liga
13,CEL,38,13,10,15,59,60,-1,49,2017,Spanish La Liga
14,ALV,38,15,2,21,40,50,-10,47,2017,Spanish La Liga
15,LEV,38,11,13,14,44,58,-14,46,2017,Spanish La Liga
16,ATH,38,10,13,15,41,49,-8,43,2017,Spanish La Liga
17,LEG,38,12,7,19,34,51,-17,43,2017,Spanish La Liga
18,DEP,38,6,11,21,38,76,-38,29,2017,Spanish La Liga
19,LPA,38,5,7,26,24,74,-50,22,2017,Spanish La Liga
20,MCF,38,5,5,28,24,61,-37,20,2017,Spanish La Liga
1,BAR,38,26,9,3,90,36,54,87,2018,Spanish La Liga
2,ATL,38,22,10,6,55,29,26,76,2018,Spanish La Liga
3,MAD,38,21,5,12,63,46,17,68,2018,Spanish La Liga
4,VAL,38,15,16,7,51,35,16,61,2018,Spanish La Liga
5,GET,38,15,14,9,48,35,13,59,2018,Spanish La Liga
6,SEV,38,17,8,13,62,47,15,59,2018,Spanish La Liga
7,ESP,38,14,11,13,48,50,-2,53,2018,Spanish La Liga
8,ATH,38,13,14,11,41,45,-4,53,2018,Spanish La Liga
9,RSO,38,13,11,14,45,46,-1,50,2018,Spanish La Liga
10,BET,38,14,8,16,44,52,-8,50,2018,Spanish La Liga
11,ALV,38,13,11,14,39,50,-11,50,2018,Spanish La Liga
12,EIB,38,11,14,13,46,50,-4,47,2018,Spanish La Liga
13,LEG,38,11,12,15,37,43,-6,45,2018,Spanish La Liga
14,VIL,38,10,14,14,49,52,-3,44,2018,Spanish La Liga
15,LEV,38,11,11,16,59,66,-7,44,2018,Spanish La Liga
16,VALL,38,10,11,17,32,51,-19,41,2018,Spanish La Liga
17,CEL,38,10,11,17,53,62,-9,41,2018,Spanish La Liga
18,GIR,38,9,10,19,37,53,-16,37,2018,Spanish La Liga
19,HUE,38,7,12,19,43,65,-22,33,2018,Spanish La Liga
20,RAY,38,8,8,22,41,70,-29,32,2018,Spanish La Liga
1,MAD,38,26,9,3,70,25,45,87,2019,Spanish La Liga
2,BAR,38,25,7,6,86,38,48,82,2019,Spanish La Liga
3,ATL,38,18,16,4,51,27,24,70,2019,Spanish La Liga
4,SEV,38,19,13,6,54,34,20,70,2019,Spanish La Liga
5,VIL,38,18,6,14,63,49,14,60,2019,Spanish La Liga
6,RSO,38,16,8,14,56,48,8,56,2019,Spanish La Liga
7,GCF,38,16,8,14,52,45,7,56,2019,Spanish La Liga
8,GET,38,14,12,12,43,37,6,54,2019,Spanish La Liga
9,VAL,38,14,11,13,46,53,-7,53,2019,Spanish La Liga
10,OSA,38,13,13,12,46,54,-8,52,2019,Spanish La Liga
11,ATH,38,13,12,13,41,38,3,51,2019,Spanish La Liga
12,LEV,38,14,7,17,47,53,-6,49,2019,Spanish La Liga
13,VALL,38,9,15,14,32,43,-11,42,2019,Spanish La Liga
14,EIB,38,11,9,18,39,56,-17,42,2019,Spanish La Liga
15,BET,38,10,11,17,48,60,-12,41,2019,Spanish La Liga
16,ALV,38,10,9,19,34,59,-25,39,2019,Spanish La Liga
17,CEL,38,7,16,15,37,49,-12,37,2019,Spanish La Liga
18,LEG,38,8,12,18,30,51,-21,36,2019,Spanish La Liga
19,MAL,38,9,6,23,40,65,-25,33,2019,Spanish La Liga
20,ESP,38,5,10,23,27,58,-31,25,2019,Spanish La Liga
1,ATL,38,26,8,4,67,25,42,86,2020,Spanish La Liga
2,MAD,38,25,9,4,67,28,39,84,2020,Spanish La Liga
3,BAR,38,24,7,7,85,38,47,79,2020,Spanish La Liga
4,SEV,38,24,5,9,53,33,20,77,2020,Spanish La Liga
5,RSO,38,17,11,10,59,38,21,62,2020,Spanish La Liga
6,BET,38,17,10,11,50,50,0,61,2020,Spanish La Liga
7,VIL,38,15,13,10,60,44,16,58,2020,Spanish La Liga
8,CEL,38,14,11,13,55,57,-2,53,2020,Spanish La Liga
9,GCF,38,13,7,18,47,65,-18,46,2020,Spanish La Liga
10,ATH,38,11,13,14,46,42,4,46,2020,Spanish La Liga
11,OSA,38,11,11,16,37,48,-11,44,2020,Spanish La Liga
12,CAD,38,11,11,16,36,58,-22,44,2020,Spanish La Liga
13,VAL,38,10,13,15,50,53,-3,43,2020,Spanish La Liga
14,LEV,38,9,14,15,46,57,-11,41,2020,Spanish La Liga
15,GET,38,9,11,18,28,43,-15,38,2020,Spanish La Liga
16,ALV,38,9,11,18,36,57,-21,38,2020,Spanish La Liga
17,ELC,38,8,12,18,34,55,-21,36,2020,Spanish La Liga
18,HUE,38,7,13,18,34,53,-19,34,2020,Spanish La Liga
19,VALL,38,5,16,17,34,57,-23,31,2020,Spanish La Liga
20,EIB,38,6,12,20,29,52,-23,30,2020,Spanish La Liga
1,MAD,37,26,7,4,80,31,49,85,2021,Spanish La Liga
2,BAR,37,21,10,6,68,36,32,73,2021,Spanish La Liga
3,ATL,37,20,8,9,63,42,21,68,2021,Spanish La Liga
4,SEV,37,17,16,4,52,30,22,67,2021,Spanish La Liga
5,BET,37,19,7,11,62,40,22,64,2021,Spanish La Liga
